============================================================================================== 
Warning! Mixing Conda and module environments may lead to corruption of the
user environment. 
We do not recommend users mixing those two environments unless absolutely
necessary. Note that 
SURF does not provide any support for Conda environment.
For more information, please refer to our software policy page:
https://servicedesk.surf.nl/wiki/display/WIKI/Software+policy+Snellius#SoftwarepolicySnellius-UseofAnacondaandMinicondaenvironmentsonSnellius 

Remember that many packages have already been installed on the system and can
be loaded using 
the 'module load <package__name>' command. If you are uncertain if a package is
already available 
on the system, please use 'module avail' or 'module spider' to search for it.
============================================================================================== 
Epoch 1, Training Loss: 0.17831179254377882, Validation Loss: 0.04179443833418191
Epoch 2, Training Loss: 0.03238023935506741, Validation Loss: 0.019390892563387753
Epoch 3, Training Loss: 0.018846227834001184, Validation Loss: 0.01658170318696648
Epoch 4, Training Loss: 0.01517387378650407, Validation Loss: 0.01526823122985661
Epoch 5, Training Loss: 0.015011043652581673, Validation Loss: 0.01303554002661258
Epoch 6, Training Loss: 0.011484447269079585, Validation Loss: 0.010125470696948469
Epoch 7, Training Loss: 0.011102746295121809, Validation Loss: 0.01175300384638831
Epoch 8, Training Loss: 0.011028831025275092, Validation Loss: 0.0100751418271102
Epoch 9, Training Loss: 0.01094478895732512, Validation Loss: 0.009127734031062573
Epoch 10, Training Loss: 0.009800773742608727, Validation Loss: 0.013250008434988558
Epoch 11, Training Loss: 0.010549492210460205, Validation Loss: 0.00972854841966182
Epoch 12, Training Loss: 0.010712041892111302, Validation Loss: 0.010130724648479372
Epoch 13, Training Loss: 0.010111942025832831, Validation Loss: 0.010382501687854529
Epoch 14, Training Loss: 0.008816018522096177, Validation Loss: 0.00832024245755747
Epoch 15, Training Loss: 0.0077179300637605286, Validation Loss: 0.008735834597609937
Epoch 16, Training Loss: 0.00795288560135911, Validation Loss: 0.008587923320010304
Epoch 17, Training Loss: 0.007929375108021, Validation Loss: 0.008360663545317948
Epoch 18, Training Loss: 0.007023169499977181, Validation Loss: 0.00792708502849564
Epoch 19, Training Loss: 0.008501362365980944, Validation Loss: 0.008494212047662587
Epoch 20, Training Loss: 0.0071854900180672605, Validation Loss: 0.008149650669656694
Epoch 21, Training Loss: 0.00887751008849591, Validation Loss: 0.00830925740301609
Epoch 22, Training Loss: 0.006844004701512555, Validation Loss: 0.00831305526662618
Epoch 23, Training Loss: 0.007643309879737595, Validation Loss: 0.008766958699561655
Epoch 24, Training Loss: 0.007053295142638186, Validation Loss: 0.007376053079497069
Epoch 25, Training Loss: 0.006438211297305921, Validation Loss: 0.008135028218384832
Epoch 26, Training Loss: 0.007363411745366951, Validation Loss: 0.007932713511399925
Epoch 27, Training Loss: 0.00634007192760085, Validation Loss: 0.007732404937269166
Epoch 28, Training Loss: 0.0070359541568905115, Validation Loss: 0.007799907983280718
Epoch 29, Training Loss: 0.007007781695574522, Validation Loss: 0.006908849906176328
Epoch 30, Training Loss: 0.006365101889241487, Validation Loss: 0.008602231391705573
Epoch 31, Training Loss: 0.006084743801814814, Validation Loss: 0.0077672266401350495
Epoch 32, Training Loss: 0.005939958046656102, Validation Loss: 0.0088487159460783
Epoch 33, Training Loss: 0.005669375396488856, Validation Loss: 0.00874554244801402
Epoch 34, Training Loss: 0.00539267590502277, Validation Loss: 0.008789296180475503
Epoch 35, Training Loss: 0.005387750865581135, Validation Loss: 0.007795385562349111
Epoch 36, Training Loss: 0.0049484018314008915, Validation Loss: 0.007522838434670121
