============================================================================================== 
Warning! Mixing Conda and module environments may lead to corruption of the
user environment. 
We do not recommend users mixing those two environments unless absolutely
necessary. Note that 
SURF does not provide any support for Conda environment.
For more information, please refer to our software policy page:
https://servicedesk.surf.nl/wiki/display/WIKI/Software+policy+Snellius#SoftwarepolicySnellius-UseofAnacondaandMinicondaenvironmentsonSnellius 

Remember that many packages have already been installed on the system and can
be loaded using 
the 'module load <package__name>' command. If you are uncertain if a package is
already available 
on the system, please use 'module avail' or 'module spider' to search for it.
============================================================================================== 
Epoch 1, Training Loss: 0.14568093676740926, Validation Loss: 0.032856790348887444
Epoch 2, Training Loss: 0.026252391903350752, Validation Loss: 0.01890914875548333
Epoch 3, Training Loss: 0.021104814298450948, Validation Loss: 0.018055529869161546
Epoch 4, Training Loss: 0.01653365244468053, Validation Loss: 0.017320153024047612
Epoch 5, Training Loss: 0.015113398261989156, Validation Loss: 0.014440287370234728
Epoch 6, Training Loss: 0.01409172637698551, Validation Loss: 0.014081435021944344
Epoch 7, Training Loss: 0.013311935930202405, Validation Loss: 0.012380864878650755
Epoch 8, Training Loss: 0.013053182691025237, Validation Loss: 0.013435612106695772
Epoch 9, Training Loss: 0.013024195500959953, Validation Loss: 0.013598711020313204
Epoch 10, Training Loss: 0.012255338587177296, Validation Loss: 0.011904519272502512
Epoch 11, Training Loss: 0.012152667762711645, Validation Loss: 0.011178468365687876
Epoch 12, Training Loss: 0.011100926017388702, Validation Loss: 0.011950126441661268
Epoch 13, Training Loss: 0.011044221712897222, Validation Loss: 0.01048197851050645
Epoch 14, Training Loss: 0.011274771283691127, Validation Loss: 0.01188970860093832
Epoch 15, Training Loss: 0.010853213133911292, Validation Loss: 0.010927605954930187
Epoch 16, Training Loss: 0.010427922771001855, Validation Loss: 0.009969323652330785
Epoch 17, Training Loss: 0.00998385667335242, Validation Loss: 0.010377908905502409
Epoch 18, Training Loss: 0.010038195814316472, Validation Loss: 0.010382115317042917
Epoch 19, Training Loss: 0.010027421141664187, Validation Loss: 0.009789032768458128
Epoch 20, Training Loss: 0.009958275958585243, Validation Loss: 0.01030087259132415
Epoch 21, Training Loss: 0.01024744457875689, Validation Loss: 0.011028273624833673
Epoch 22, Training Loss: 0.009558407403528691, Validation Loss: 0.009445899166166782
Epoch 23, Training Loss: 0.009196683985646815, Validation Loss: 0.008840303844772279
Epoch 24, Training Loss: 0.008495292246031265, Validation Loss: 0.009991017438005656
Epoch 25, Training Loss: 0.00824259762496998, Validation Loss: 0.009568714804481715
Epoch 26, Training Loss: 0.008945308513163278, Validation Loss: 0.009271431621164084
Epoch 27, Training Loss: 0.008348523328701654, Validation Loss: 0.010497557267080992
Epoch 28, Training Loss: 0.008752615082388122, Validation Loss: 0.009388950164429843
Epoch 29, Training Loss: 0.008637507100744794, Validation Loss: 0.009691789117641746
Epoch 30, Training Loss: 0.007629794961151977, Validation Loss: 0.009657778218388558
Epoch 31, Training Loss: 0.007789553228455285, Validation Loss: 0.009220266423653811
Epoch 32, Training Loss: 0.00815718419228991, Validation Loss: 0.01019623273750767
